Length,strand,KMeans_Cluster,HClust_Cluster
97,1,0,1
249,1,0,1
97,1,0,1
273,1,0,1
148,1,0,1
294,1,0,1
102,-1,0,2
148,1,0,1
114,-1,0,2
42,0,0,2
726,0,0,2
300,1,0,1
299,1,0,1
131,-1,0,2
299,-1,0,2
305,1,0,1
92,1,0,1
70,-1,0,2
302,-1,0,2
7,0,0,2
66,0,0,2
118,-1,0,2
223,1,0,1
100,1,0,1
283,1,0,1
1101,1,0,1
255,1,0,1
62,1,0,1
292,1,0,1
156,-1,0,2
101,-1,0,2
102,-1,0,2
12,0,0,2
271,1,0,1
74,1,0,1
40,1,0,1
20,0,0,2
15,0,0,2
196,1,0,1
296,1,0,1
63,0,0,2
51,0,0,2
131,1,0,1
107,1,0,1
17,0,0,2
34,0,0,2
741,1,0,1
269,1,0,1
12,-1,0,2
175,0,0,2
669,1,0,1
7,0,0,2
113,1,0,1
131,1,0,1
54,0,0,2
381,0,0,2
24,0,0,2
40,1,0,1
257,1,0,1
347,0,0,2
386,1,0,1
127,-1,0,2
136,1,0,1
121,0,0,2
310,-1,0,2
721,-1,0,2
280,1,0,1
8,0,0,2
152,0,0,2
69,-1,0,2
157,-1,0,2
588,-1,0,2
41,0,0,2
387,0,0,2
43,0,0,2
102,0,0,2
302,1,0,1
30,1,0,1
21,0,0,2
91,-1,0,2
17,0,0,2
12,0,0,2
444,-1,0,2
31,0,0,2
30,1,0,1
109,-1,0,2
481,1,0,1
12,-1,0,2
60,1,0,1
511,1,0,1
7,0,0,2
295,-1,0,2
313,-1,0,2
70,-1,0,2
959,1,0,1
1624,1,1,1
19,1,0,1
30,1,0,1
81,-1,0,2
1000,0,0,2
232,-1,0,2
186,-1,0,2
122,1,0,1
47,1,0,1
21,0,0,2
210,1,0,1
25,1,0,1
287,-1,0,2
21,0,0,2
355,-1,0,2
148,1,0,1
201,-1,0,2
129,-1,0,2
193,0,0,2
39,0,0,2
44,0,0,2
90,-1,0,2
301,-1,0,2
159,-1,0,2
76,-1,0,2
76,-1,0,2
301,-1,0,2
296,1,0,1
8,0,0,2
223,1,0,1
119,-1,0,2
1101,1,0,1
372,-1,0,2
61,0,0,2
24,0,0,2
51,0,0,2
7,0,0,2
439,1,0,1
278,1,0,1
50,-1,0,2
136,1,0,1
296,-1,0,2
505,1,0,1
97,1,0,1
419,-1,0,2
103,1,0,1
27,0,0,2
202,1,0,1
558,1,0,1
10,0,0,2
137,-1,0,2
237,1,0,1
22,0,0,2
8,0,0,2
137,-1,0,2
37,0,0,2
408,1,0,1
140,1,0,1
28,0,0,2
562,-1,0,2
53,0,0,2
144,1,0,1
169,1,0,1
291,-1,0,2
280,1,0,1
181,-1,0,2
146,-1,0,2
14,0,0,2
468,0,0,2
19,0,0,2
13,0,0,2
258,-1,0,2
119,-1,0,2
309,1,0,1
310,1,0,1
185,-1,0,2
328,1,0,1
137,1,0,1
43,0,0,2
152,0,0,2
61,0,0,2
300,1,0,1
182,1,0,1
90,-1,0,2
308,1,0,1
311,-1,0,2
71,1,0,1
63,1,0,1
295,-1,0,2
309,1,0,1
23,0,0,2
7,0,0,2
286,-1,0,2
40,0,0,2
27,1,0,1
297,1,0,1
562,-1,0,2
152,0,0,2
114,-1,0,2
63,1,0,1
162,1,0,1
15,0,0,2
144,-1,0,2
239,0,0,2
294,0,0,2
146,0,0,2
307,1,0,1
97,1,0,1
140,-1,0,2
170,1,0,1
905,-1,0,2
97,1,0,1
88,0,0,2
297,-1,0,2
305,-1,0,2
107,1,0,1
32,1,0,1
306,1,0,1
140,-1,0,2
45,0,0,2
85,1,0,1
132,1,0,1
167,0,0,2
395,1,0,1
216,-1,0,2
312,1,0,1
45,1,0,1
299,-1,0,2
226,1,0,1
51,1,0,1
92,0,0,2
26,0,0,2
249,1,0,1
8,0,0,2
173,-1,0,2
23,0,0,2
31,0,0,2
179,1,0,1
300,1,0,1
44,1,0,1
114,-1,0,2
60,0,0,2
446,1,0,1
136,1,0,1
340,-1,0,2
170,1,0,1
310,1,0,1
28,1,0,1
292,1,0,1
7,0,0,2
476,-1,0,2
292,-1,0,2
49,0,0,2
304,1,0,1
97,1,0,1
136,1,0,1
65,-1,0,2
176,1,0,1
21,0,0,2
299,1,0,1
7,0,0,2
8,0,0,2
232,1,0,1
181,-1,0,2
407,-1,0,2
265,-1,0,2
92,1,0,1
63,1,0,1
97,1,0,1
594,-1,0,2
124,-1,0,2
34,1,0,1
101,1,0,1
