SampleName,Sex,BiosampleID,PopulationCode,PopulationName,SuperpopulationCode,SuperpopulationName
HG00157,male,SAME124590,GBR,British,EUR,European Ancestry
HG00171,female,SAME124961,FIN,Finnish,EUR,European Ancestry
HG00188,male,SAME123641,FIN,Finnish,EUR,European Ancestry
HG00190,male,SAME123856,FIN,"Finnish,Finnish",EUR,"European Ancestry,West Eurasia (SGDP)"
HG00099,female,SAME123271,GBR,British,EUR,European Ancestry
HG00107,male,SAME123947,GBR,British,EUR,European Ancestry
HG00114,male,SAME125343,GBR,British,EUR,European Ancestry
HG00284,male,SAME122835,FIN,Finnish,EUR,European Ancestry
HG00258,female,SAME123057,GBR,British,EUR,European Ancestry
HG00133,female,SAME123062,GBR,British,EUR,European Ancestry
HG00152,male,SAME124593,GBR,British,EUR,European Ancestry
HG00513,female,SAME123526,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG00537,female,SAME124345,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG00551,female,SAME124252,PUR,Puerto Rican,AMR,American Ancestry
HG00657,female,SAME123255,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG00443,female,SAME124920,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG00479,female,SAME123334,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG00436,male,SAME125262,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG00619,male,SAME125193,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG00626,female,SAME123078,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG00607,male,SAME125373,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG00311,male,SAME124339,FIN,Finnish,EUR,European Ancestry
HG00323,female,SAME123795,FIN,Finnish,EUR,European Ancestry
HG00335,male,SAME123982,FIN,Finnish,EUR,European Ancestry
HG00342,male,SAME124924,FIN,Finnish,EUR,European Ancestry
HG00361,female,SAME124538,FIN,Finnish,EUR,European Ancestry
HG00378,female,SAME124745,FIN,Finnish,EUR,European Ancestry
HG01345,female,SAME124863,CLM,Colombian,AMR,American Ancestry
HG00739,male,SAME125113,PUR,Puerto Rican,AMR,American Ancestry
HG01028,male,SAME123524,CDX,Dai Chinese,EAS,East Asian Ancestry
HG01047,male,SAME123166,PUR,Puerto Rican,AMR,American Ancestry
HG01124,male,SAME124053,CLM,Colombian,AMR,American Ancestry
HG01131,female,SAME1839985,CLM,Colombian,AMR,American Ancestry
HG01136,male,SAME123889,CLM,Colombian,AMR,American Ancestry
HG01148,male,SAME124424,CLM,Colombian,AMR,American Ancestry
HG01256,male,SAME125287,CLM,Colombian,AMR,American Ancestry
HG01275,female,SAME123002,CLM,Colombian,AMR,American Ancestry
HG01085,male,SAME125391,PUR,Puerto Rican,AMR,American Ancestry
HG01054,male,SAME123663,PUR,Puerto Rican,AMR,American Ancestry
HG01066,male,SAME124294,PUR,Puerto Rican,AMR,American Ancestry
