Chromosome,Start,End,RepeatType,strand,Length
1,1,10000,dust,0,9999
1,10001,10468,trf,0,467
1,10001,10468,(CCCTAA)n,1,467
1,10034,10468,dust,0,434
1,10464,11447,TAR1,-1,983
1,10469,11447,TAR1,-1,978
1,10615,10799,dust,0,184
1,10628,10800,trf,0,172
1,10758,10997,trf,0,239
1,10823,10865,trf,0,42
1,11009,11026,dust,0,17
1,11167,11448,trf,0,281
1,11505,11675,L1MC5a,-1,170
1,11505,11675,L1MC5a,-1,170
1,11678,11780,MER5B,-1,102
1,11678,11780,MER5B,-1,102
1,15265,15355,MIR3,-1,90
1,15265,15355,MIR3,-1,90
1,16713,16744,dust,0,31
1,16713,16749,(TGG)n,1,36
1,18907,19048,L2a,1,141
1,18907,19048,L2a,1,141
1,19306,19443,trf,0,137
1,19972,20405,L3,1,433
1,19972,20405,L3,1,433
1,20531,20679,Plat_L3,1,148
1,20531,20679,Plat_L3,1,148
1,21949,22075,MLT1K,1,126
1,21949,22075,MLT1K,1,126
1,23120,23371,MIR,-1,251
1,23120,23371,MIR,-1,251
1,23804,24038,L2b,1,234
1,23804,24038,L2b,1,234
1,24088,24250,MIR,1,162
1,24088,24250,MIR,1,162
1,24255,24448,L2b,1,193
1,24255,24448,L2b,1,193
1,26356,26412,MIR1_Amn,1,56
1,26356,26412,MIR1_Amn,1,56
1,26583,26790,L2c,-1,207
1,26583,26790,L2c,-1,207
1,26791,27053,AluSp,1,262
1,26791,27053,AluSp,1,262
1,27054,27137,L2c,-1,83
1,27054,27137,L2c,-1,83
1,27269,27518,MER33,1,249
1,27269,27518,MER33,1,249
1,27833,28014,MIRb,-1,181
1,27833,28014,MIRb,-1,181
1,28151,28302,MIR,-1,151
1,28151,28302,MIR,-1,151
1,28412,28420,dust,0,8
1,28589,28603,dust,0,14
1,29222,29283,dust,0,61
1,29902,30198,L1MB3,1,296
1,29902,30198,L1MB3,1,296
1,30189,30262,dust,0,73
1,30343,30532,MER53,-1,189
1,30343,30532,MER53,-1,189
1,30694,30848,MLT1A,1,154
1,30694,30848,MLT1A,1,154
1,30855,30959,dust,0,104
1,30855,30963,trf,0,108
1,30855,30952,(TC)n,1,97
1,30863,30953,trf,0,90
1,30953,31131,MLT1A,1,178
1,30953,31131,MLT1A,1,178
1,31293,31435,MIRc,1,142
1,31293,31435,MIRc,1,142
1,31436,31733,AluJo,1,297
1,31436,31733,AluJo,1,297
1,31720,31733,dust,0,13
1,31734,31754,MIRc,1,20
1,31734,31754,MIRc,1,20
1,32841,33037,MIR,1,196
1,32841,33037,MIR,1,196
1,33048,33456,L1MB5,1,408
1,33048,33456,L1MB5,1,408
1,33450,33464,dust,0,14
1,33466,33509,AluYc,1,43
1,33466,33509,AluYc,1,43
1,33521,33541,dust,0,20
1,33529,34041,L1PA6,-1,512
1,33529,34041,L1PA6,-1,512
1,34048,34108,L1P1,1,60
1,34048,34108,L1P1,1,60
1,34451,34560,L2c,-1,109
1,34451,34560,L2c,-1,109
1,34565,34921,MLT1J2,-1,356
1,34565,34921,MLT1J2,-1,356
1,35217,35366,MIRb,-1,149
1,35217,35366,MIRb,-1,149
1,35367,35499,AluJr,1,132
1,35367,35499,AluJr,1,132
1,35484,35509,dust,0,25
1,35484,35507,trf,0,23
1,36352,36364,dust,0,12
1,37045,37431,Charlie5,1,386
1,37045,37431,Charlie5,1,386
1,37241,37250,dust,0,9
